District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Talamadugu,2024-04-21,0.0,8.8
Adilabad,Talamadugu,2024-04-22,0.0,15.0
Adilabad,Talamadugu,2024-04-23,0.0,13.0
Adilabad,Talamadugu,2024-04-24,0.0,12.4
Adilabad,Talamadugu,2024-04-25,0.0,10.2
Adilabad,Talamadugu,2024-04-26,0.0,4.6
Adilabad,Talamadugu,2024-04-27,0.0,11.0
Adilabad,Talamadugu,2024-04-28,0.0,8.3
Adilabad,Talamadugu,2024-04-29,0.0,5.8
Adilabad,Talamadugu,2024-04-30,0.0,7.9
Adilabad,Tamsi,2024-04-01,0.0,5.3
Adilabad,Tamsi,2024-04-02,0.0,5.2
Adilabad,Tamsi,2024-04-03,0.0,8.8
Adilabad,Tamsi,2024-04-04,0.0,4.9
Adilabad,Tamsi,2024-04-05,0.0,8.9
Adilabad,Tamsi,2024-04-06,0.0,10.2
Adilabad,Tamsi,2024-04-07,0.0,6.9
Adilabad,Tamsi,2024-04-08,0.0,12.4
Adilabad,Tamsi,2024-04-09,0.0,15.2
Adilabad,Tamsi,2024-04-10,0.0,14.5
Adilabad,Tamsi,2024-04-11,0.0,8.3
Adilabad,Tamsi,2024-04-12,0.0,14.5
Adilabad,Tamsi,2024-04-13,0.0,14.9
